"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-17211S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav pro českou literaturu AV ČR, v.v.i.",,"česká literatura;modernismus;poezie;pásmo;třicátá léta;T. S. Eliot;Milada Součková",3,"Odkrývání modernismu: Český modernismus a Milada Součková"
"20-17224J","Mezinárodní projekty – 2020","Oborová komise technických věd","COMTES FHT a.s.",,"ultrajemnozrnná struktura;miniaturizované vzorky;vliv velikosti;vliv deformační rychlosti;tahová zkouška;lomová houževnatost;SPD",3,"Výzkum a vývoj moderních ultrajemnozrnných materiálů pomocí SPD zpracování a přesných zkušebních procedur"
"20-17230S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","1. lékařská fakulta","Hepcidin; TFR2; Matriptáza 2; Tmprss6; HFE; SMAD1; SMAD5",3,"Úloha transferinového receptoru 2 v regulaci vstřebávání železa"
"20-17248S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav pro studium totalitních režimů",,"Česká republika;Slovenská republika;20. století;politika paměti;identita;trauma;kolektivní paměť;narativ",3,"Role českých a slovenských organizací sdružujících oběti a přeživší ve vyrovnávání se s komunistickou minulostí"
"20-17253S","Standardní projekty – 2020","Oborová komise technických věd","Masarykova univerzita","Fakulta informatiky","extrakce vlastností;;statistické testy;;analýza biomedicínských obrazových dat;;optická mikroskopie",3,"Validace počítačově generovaných biomedicínských obrazových dat"
"20-17269X","EXPRO - 2020","EXPRO","Národohospodářský ústav AV ČR, v.v.i.",,"ekonomické preference;kontrolované experimenty v terénu;destruktivní chování;etnická diskriminace;konflikt;skupinová identita",5,"Identita a anti-socialní chování: Aktivace a formování"
"20-17276S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ústav dějin umění AV ČR, v.v.i.",,"hudba;19. století;evropská kultura;salóny;soukromá hudební kultura;hudební identita;hudební dědictví;hudba a gender",3,"Hudební repertoár na soukromých společenských setkáních 1815–1850: hudební migrace a individualita"
"20-17314Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Přírodovědecká fakulta","kapilární elektroforéza;fluorescenční detekce;glykany;glykoproteiny;glykopeptidy",3,"Studie vztahů mezi strukturou a mobilitou online značených glykanů v kapilární elektroforéze"
"20-17322S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Přírodovědecká fakulta","Funkční vlastnosti druhů;historie krajiny;invazní druh;nepůvodní druh;rostlinné invaze;typ stanoviště;využití krajiny",3,"Rostlinné invaze na různých prostorových škálách: interakce historie krajiny, typu stanoviště a funkčních vlastností druhů"
"20-17333S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav experimentální medicíny AV ČR, v.v.i.",,"plasticita mozku;obohacené zvukové prostředí;operantní podmiňování;stárnutí;sluchová ztráta",3,"Ztráta sluchu s věkem a možnosti jejího pozitivního ovlivnění využitím plasticity mozku"
"20-17346S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Národní ústav duševního zdraví",,"Schizofrenie;animální model;prediktivní validita;eletrická komunikace;sociální chování;antipsychotika.",3,"Nový model schizofrenie založený na druhu Gnathonemus petersii a obohacený o hodnocení elektrické komunikace a sociálního chování."
"20-17351S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Ekonomicko-správní fakulta","odpadové hospodářství;obce;obecní finance;environmentální ekonomie;pobídky;motivace",3,"Motivační systémy v odpadovém hospodářství obcí"
"20-17367S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","3. lékařská fakulta","řídící mutace;enzymová kinetika;glukokinasa;hexokinasa;atypické hexokinasy",3,"Regulace a vzájemná zastupitelnost hexokinas v metabolismu buňky"
"20-17380S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","sekvenování nové generace;druhová fylogeneze;druhová diverzita;biogeografie;diverzifikace;
adaptivní radiace",3,"Za kompletní druhovou fylogenezí Neotropické fauny cichlid: integrativní systematika v genomické éře"
"20-17398S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","Přírodovědecká fakulta","morfin;morfin-3-glukuronid;gliové buňky;Toll-like receptory;opioidní receptory;cytokiny;oxidativní rovnováha;mitochondrie",3,"Studium mechanismů prozánětlivých a protizánětlivých účinků morfinu a jeho klíčového metabolitu, morfinu-3-glukuronidu, v gliových buňkách"
"20-17419S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","optické konstanty;disperzní modely;teplotní roztažnost",3,"Teplotně závislé disperzní modely pevných látek v optice tenkých vrstev"
"20-17426S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Filozofická fakulta","Hegel; logika; metafyzika; důkazní teorie",3,"Současný filozofický význam Hegelovy logiky a metafyziky"
"20-17435J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","finanční cykly;časově-frekvenční doména;časově-frekvenční regrese;finanční zranitelnost",3,"Analýza finančních cyklů v časově-frekvenční doméně"
"20-17442S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"ekologie podzemních vod;mikrobiologie;fauna;potravní síť;stabilní izotopy",3,"Esenciální mastné kyseliny v potravních řetězcích podzemních vod"
"20-17457S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav molekulární genetiky AV ČR, v.v.i.",,"endogenní retrovirus;Syncytin-1;obalový glykoprotein;buněčná fúze;proteaza",3,"Vliv sekvenčního polymorfismu na fúzogenní aktivitu Syncytinu-1"
"20-17461S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Západočeská univerzita v Plzni","Fakulta filozofická","vzájemná (oboustranná) recepce;česká literatura;výtvarné umění;hudba;antropologické aspekty;Rainer Maria Rilke;česká spirituální poezie;metafyzická lyrika;reflexivní lyrika;",3,"Rainer Maria Rilke a česká kultura. Literárně antropologické a intermediální aspekty vzájemné recepce"
"20-17517S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","exudace; buněčné dýchání; enzymy; fungicidy; mikroorganismy; rostliny; koktejlové interakce",3,"Půdní interakce fungicidů a jejich vliv na necílové organismy"
"20-17538Y","Juniorské projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Ekonomicko-správní fakulta","Dotace;Efekt vytěsnění;Nezisková organizace;Veřejné finance",3,"Dopad veřejné podpory poskytované neziskovým organizacím na soukromé dárcovství: Analýza efektu vytěsnění"
"20-17540S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola chemicko-technologická v Praze","Fakulta chemické technologie","elektrochemie; vrstevnaté chalkogenidy; baterie; superkapacitory; katalýza",3,"Vrstevnaté chalkogenidy kovů pro ukládání a produkci energie"
"20-17555S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Ekonomicko-správní fakulta","DSGE modely;daňový systém;stínová ekonomika;příspěvky na sociální zabezpečení;minimální mzda;daňová politika;",3,"Dopady alternativních nastavení daně z příjmů fyzických osob a příspěvků na sociální zabezpečení na velikost stínové ekonomiky"
"20-17564J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","kůrovec; UAS; disturbance; včasná detekce; strojové učení;",3,"Přesná detekce napadení kůrovci ve smrkovém v porostu za pomcí bezpilotních leteckých systémů (UAS)"
"20-17572S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Česká zemědělská univerzita v Praze","Fakulta agrobiologie, potravinových a přírodních zdrojů","Polyfenoly; obiloviny; vláknina; testy biologické aktivity;přírodní látky;LC/MS; buněčné testy;feruláty; metabolomika; imunitní systém;trávení",3,"Deriváty kyseliny ferulové z obilovin a jejich vliv na lidský střevní epithel a imunitní systém"
"20-17586Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"přezimování;teplé zimy;změna klimatu;přežití;hmyz;chladová odolnost;energetické rezervy;metabolomika;subletální efekty",3,"Vliv teplých zim na přežití a reprodukční úspěšnost hmyzu po zimě"
"20-17593L","Lead Agency - 2020","kontrola","České vysoké učení technické v Praze","Fakulta jaderná a fyzikálně inženýrská","komplexní systémy;superstatistika;informační geometrie;dráhové integrály;subordinace;polynomiální procesy;zobecněné entropie",3,"Predikce strukturních přechodů v komplexních systémech"
"20-17604S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Vysoká škola chemicko-technologická v Praze","Fakulta chemicko-inženýrská","supramolekulární systémy;modifikace povrchu;molekulární rozpoznávání;detekce neuroblastomu",3,"Návrh a využití supramolekulárních struktur pro elektrochemickou detekci metabolitů neuroblastomu"
"20-17615S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav molekulární genetiky AV ČR, v.v.i.",,"meiotická rekombinace;hybridní sterilita;DNA:RNA hybridy;DRIP-seq;chromatinové modifikace",2,"Úloha DNA:RNA hybridů v myší meiotické rekombinaci a hybridní sterilitě."
"20-17643S","Standardní projekty – 2020","Oborová komise technických věd","Západočeská univerzita v Plzni","Nové technologie - Výzkumné centrum","Fotokatalýza;porézní nosiče;nanočástice;čištění vod",3,"Unikátní plovoucí nosiče na bázi porézní keramiky pokryté fotokatalytickými nanočásticemi pro pokročilou sanaci odpadních vod"
"20-17658S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Masarykova univerzita","Přírodovědecká fakulta","krevsající dvoukřídlí; Plasmodium; Haemosporidium; Leucocytozoon; krůta; pštros; barcoding; multiplex PCR;",3,"Ptačí krevní paraziti přenášeni krev sajícím dvoukřídlým hmyzem v okolí drůbežích farem"
"20-17662S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","Lékařská fakulta v Plzni","fibrocyty;indukované pluripotentní buňky;astrocyty;Alzheimerova choroba;receptory;kanály;intracelulrární Ca2+; glutamatergní signalizace;",3,"Analýza astrocytů odvozených z indukovaných pluripotentních buněk pacientů s Alzheimerovou chorobou."
"20-17670S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","ŠKODA AUTO VYSOKÁ ŠKOLA o.p.s.",,"výlučné pravomoci EU;globální konkurenceschopnost;průmysloví šampioni;kontrola spojování;kontrola státní pomoci;společná obchodní politika;srovnání EU-USA-Čína;",3,"Účinky výlučných pravomocí EU a jejich možných změn na konkurenceschopnost EU"
"20-17689S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Fakulta sociálních věd","Československo; násilí; integrované dějiny; poválečná doba; 1945–48",3,"Vstříc integrovaným dějinám násilí v Československu, 1945–48"
"20-17691S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta stavební","CFD;kruhový válec;drsnost;aerodynamická drsnost;zatížení větrem;odporový koeficient;vysoké Reynoldsovo číslo;mezní vrstva;stěnová funkce",3,"Vliv povrchové drsnosti válce na jeho zatížení od účinků větru"
"20-17708S","Standardní projekty – 2020","Oborová komise technických věd","Ústav struktury a mechaniky hornin AV ČR, v.v.i.",,"Uspořádané mikromezoporézní uhlíkové materiály;adsorpce;CO2;těkavé organické páry;kinetika;isosterické teplo;selektivita;regenerační schopnost",3,"Vývoj a studium nových mikromezoporézních uhlíkových adsorbentů pro použití v oblasti ochrany životního prostředí"
